TimeStamp,srcIp,dstIp,srcPort,dstPort,result
2023-07-07 19:32:00.017020,8.8.8.8,192.168.43.77,53,53942,BENIGN
2023-07-07 19:32:00.021924,8.8.8.8,192.168.43.77,53,37423,BENIGN
2023-07-07 19:32:00.021943,8.8.8.8,192.168.43.77,53,45712,BENIGN
2023-07-07 19:32:00.022042,8.8.8.8,192.168.43.77,53,56743,BENIGN
2023-07-07 19:32:00.031660,40.81.94.43,192.168.43.77,443,55954,BENIGN
2023-07-07 19:32:00.372359,192.168.43.77,8.8.8.8,59997,53,BENIGN
2023-07-07 19:32:00.372516,192.168.43.77,8.8.8.8,53963,53,BENIGN
2023-07-07 19:32:00.372710,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,44530,53,BENIGN
2023-07-07 19:32:00.372922,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,45300,53,BENIGN
2023-07-07 19:32:00.414295,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,44530,BENIGN
2023-07-07 19:32:00.414295,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,45300,BENIGN
2023-07-07 19:32:00.415183,192.168.43.77,104.211.181.214,58362,443,BENIGN
2023-07-07 19:32:00.423283,8.8.8.8,192.168.43.77,53,53963,BENIGN
2023-07-07 19:32:00.423894,8.8.8.8,192.168.43.77,53,59997,BENIGN
2023-07-07 19:32:00.591475,104.211.181.214,192.168.43.77,443,58362,BENIGN
2023-07-07 19:32:02.208337,192.168.43.77,8.8.8.8,35286,53,BENIGN
2023-07-07 19:32:02.208881,192.168.43.77,8.8.8.8,52582,53,BENIGN
2023-07-07 19:32:02.209147,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,52979,53,BENIGN
2023-07-07 19:32:02.216588,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,52979,BENIGN
2023-07-07 19:32:02.218030,192.168.43.77,40.81.94.22,43324,443,BENIGN
2023-07-07 19:32:02.230861,192.168.43.77,40.81.94.22,43330,443,BENIGN
2023-07-07 19:32:02.236370,192.168.43.77,40.81.94.22,43338,443,BENIGN
2023-07-07 19:32:02.238126,192.168.43.77,40.81.94.22,43346,443,BENIGN
2023-07-07 19:32:02.242331,192.168.43.77,40.81.94.22,43348,443,BENIGN
2023-07-07 19:32:02.243539,192.168.43.77,40.81.94.22,43358,443,BENIGN
2023-07-07 19:32:02.267013,8.8.8.8,192.168.43.77,53,35286,BENIGN
2023-07-07 19:32:02.275536,40.81.94.22,192.168.43.77,443,43324,BENIGN
2023-07-07 19:32:02.280322,8.8.8.8,192.168.43.77,53,52582,BENIGN
2023-07-07 19:32:02.283444,40.81.94.22,192.168.43.77,443,43330,BENIGN
2023-07-07 19:32:02.311115,40.81.94.22,192.168.43.77,443,43338,BENIGN
2023-07-07 19:32:02.313118,40.81.94.22,192.168.43.77,443,43358,BENIGN
2023-07-07 19:32:02.319041,40.81.94.22,192.168.43.77,443,43348,BENIGN
2023-07-07 19:32:02.319041,40.81.94.22,192.168.43.77,443,43346,BENIGN
2023-07-07 19:32:02.876845,fe80::21f4:4bb6:b743:5c7,2401:4900:598e:e314::a0,55954,443,BENIGN
2023-07-07 19:32:02.883712,2401:4900:598e:e314::a0,fe80::21f4:4bb6:b743:5c7,55954,443,BENIGN
2023-07-07 19:32:04.576171,192.168.43.77,8.8.8.8,40506,53,BENIGN
2023-07-07 19:32:04.576561,192.168.43.77,8.8.8.8,40327,53,BENIGN
