 Bwd IAT Max, Bwd URG Flags, Total Backward Packets, Fwd IAT Max, Active Max, URG Flag Count, Bwd Packet Length Mean, act_data_pkt_fwd, Bwd Packet Length Std, PSH Flag Count, ACK Flag Count, Avg Fwd Segment Size,Flow Bytes/s, Fwd Avg Bulk Rate,Active Mean,Bwd Packet Length Max,Init_Win_bytes_forward,Idle Mean
0,0,0,20.102603,21.639219,0,0,18,0,18,26,65.66666666666667,0.8014525555555556,229.67557193260996,3.5884874814814816,0,64240,0.7685974444444444
0,0,1,20.102481,21.660084,0,60.0,10,0.0,9,31,281.3333333333333,0.6987123870967742,852.443600865075,5.276041612903226,60.0,0,0.6667484516129032
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,40.0,0.0,0,0.0,0,0,0.0
0,0,1,0,0.006865,0,40.0,0,0.0,0,0,40.0,0.006865,0,0.006865,40.0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,68.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,68.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,57.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,57.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,40.0,0.0,0,0.0,0,0,0.0
0,0,0,1.11993,4.60161,0,0,27,0,27,92,49.83870967741935,0.049479677419354835,3067.1873539913204,0.879006268817204,0,64240,0.02092493548387098
0,0,1,0,0.008608,0,40.0,0,0.0,0,0,49.83870967741935,0.008608,0,0.008608,40.0,0,0.0
0,0,1,0,0.051889,0,136.0,0,0.0,0,0,49.83870967741935,0.051889,0,0.051889,136.0,0,0.0
0,0,1,0,0.052889,0,87.0,0,0.0,0,0,49.83870967741935,0.052889,0,0.052889,87.0,0,0.0
0,0,1,0,0.049317,0,73.0,0,0.0,0,0,49.83870967741935,0.049317,0,0.049317,73.0,0,0.0
0,0,1,0,0.049681,0,122.0,0,0.0,0,0,49.83870967741935,0.049681,0,0.049681,122.0,0,0.0
0,0,1,0,0.05522,0,153.0,0,0.0,0,0,49.83870967741935,0.05522,0,0.05522,153.0,0,0.0
0,0,1,0,0.059843,0,104.0,0,0.0,0,0,49.83870967741935,0.059843,0,0.059843,104.0,0,0.0
0,0,1,0,0.058511,0,136.0,0,0.0,0,0,49.83870967741935,0.058511,0,0.058511,136.0,0,0.0
0,0,1,0,0.058868,0,87.0,0,0.0,0,0,49.83870967741935,0.058868,0,0.058868,87.0,0,0.0
0,0,1,0.5989420000000001,4.601534,0,60.0,96,0.0,83,119,1695.2457627118645,0.03866835294117647,88283.16817826404,0.86776525210084,60.0,0,0.012460773109243699
0,0,0,0,0,0,0,1,0,0,0,57.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,57.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,46.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,46.0,0.0,0,0.0,0,0,0.0
0,0,1,0,0.041585,0,62.0,0,0.0,0,0,46.0,0.041585,0,0.041585,62.0,0,0.0
0,0,1,0,0.041373,0,111.0,0,0.0,0,0,46.0,0.041373,0,0.041373,111.0,0,0.0
0,0,0,0.22200600000000004,1.703933,0,0,5,0,5,12,90.84615384615384,0.13107176923076921,1703.118608536838,0.6962586153846153,0,64240,0.04724315384615384
0,0,1,0,0.050767,0,142.0,0,0.0,0,0,90.84615384615384,0.050767,0,0.050767,142.0,0,0.0
0,0,1,0,0.051535,0,93.0,0,0.0,0,0,90.84615384615384,0.051535,0,0.051535,93.0,0,0.0
0,0,1,0.8584160000000001,1.703806,0,52.0,7,0.0,6,9,1902.875,0.18931177777777777,18057.22012952179,0.9505285555555556,52.0,0,0.1582621111111111
0,0,0,0,0,0,0,1,0,0,0,68.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,68.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,57.0,0.0,0,0.0,0,0,0.0
0,0,1,0,0.007441,0,57.0,0,0.0,0,0,57.0,0.007441,0,0.007441,57.0,0,0.0
0,0,0,0.13262200000000002,0.471159,0,0,4,0,4,10,73.45454545454545,0.042832636363636364,4660.846975224924,0.22478263636363635,0,64240,0.02967927272727273
0,0,0,0.061653,1.630956,0,0,14,0,14,30,57.12903225806452,0.05261148387096774,3165.0148747115186,0.2592154516129032,0,64240,0.005394290322580644
